car_park_no,x_coord,y_coord,car_park_type,car_park_type_encoded,cluster_label
ACB,30314.7936,31490.4942,BASEMENT CAR PARK,0,4
ACM,33758.4143,33695.5198,MULTI-STOREY CAR PARK,4,4
AH1,29257.7203,34500.3599,SURFACE CAR PARK,5,4
AK19,28185.4359,39012.6664,SURFACE CAR PARK,5,4
AK31,29482.029,38684.1754,SURFACE CAR PARK,5,4
AK52,29889.3457,39382.8134,SURFACE CAR PARK,5,4
AK83,31397.2241,39851.6191,SURFACE CAR PARK,5,1
AK9,29674.8184,40616.875,SURFACE CAR PARK,5,3
AM14,28777.0707,38973.9528,MULTI-STOREY CAR PARK,4,4
AM16,28267.0582,39151.8344,MULTI-STOREY CAR PARK,4,4
AM18,29257.6457,38619.9953,MULTI-STOREY CAR PARK,4,4
AM19,28134.9305,38989.9965,MULTI-STOREY CAR PARK,4,4
AM20,29421.1502,38526.8611,MULTI-STOREY CAR PARK,4,4
AM22,29595.2539,38514.7606,MULTI-STOREY CAR PARK,4,4
AM32,28117.7689,39172.0389,MULTI-STOREY CAR PARK,4,4
AM43,30669.2379,38959.5487,MULTI-STOREY CAR PARK,4,4
AM46,30234.4145,39354.0323,MULTI-STOREY CAR PARK,4,4
AM51,29489.025,39103.7605,MULTI-STOREY CAR PARK,4,4
AM64,30201.236,39274.274,MULTI-STOREY CAR PARK,4,4
AM79,30004.2224,39370.6063,MULTI-STOREY CAR PARK,4,4
AM80,28950.7223,39184.6976,MULTI-STOREY CAR PARK,4,4
AM81,28960.3285,39294.4158,MULTI-STOREY CAR PARK,4,4
AM96,29961.0968,38457.9118,MULTI-STOREY CAR PARK,4,4
AR1L,22359.0217,31801.6379,SURFACE CAR PARK,5,0
AR1M,22474.205,31687.9608,MULTI-STOREY CAR PARK,4,4
AR2L,22194.6359,32026.8288,SURFACE CAR PARK,5,0
AR2M,22252.486,31896.9749,MULTI-STOREY CAR PARK,4,0
AR5M,22562.8641,32184.9758,MULTI-STOREY CAR PARK,4,4
AR7L,22688.3753,32015.1518,SURFACE CAR PARK,5,4
AR7M,22643.9533,31900.5591,MULTI-STOREY CAR PARK,4,4
AR9,22448.9368,32178.436,SURFACE CAR PARK,5,0
AV1,24649.752,29778.7266,SURFACE CAR PARK,5,4
AV2,24941.5778,29704.4978,SURFACE CAR PARK,5,4
A1,28934.1777,38749.8516,SURFACE CAR PARK,5,4
A10,29247.03,38962,SURFACE CAR PARK,5,4
A100,29033.1895,39996.3712,SURFACE CAR PARK,5,4
A11,28541.14,38785.36,SURFACE CAR PARK,5,4
A12,28605.489,38954.8,SURFACE CAR PARK,5,4
A13,28388.51,38892.03,SURFACE CAR PARK,5,4
A15,28790.02,38777.85,SURFACE CAR PARK,5,4
A2,29082.59,38697.07,SURFACE CAR PARK,5,4
A20,29684.7366,38554.0251,SURFACE CAR PARK,5,4
A21,29446.1477,38906.1139,SURFACE CAR PARK,5,4
A23,29735.5099,38818.5301,MULTI-STOREY CAR PARK,4,4
A24,29789.41,38533.02,SURFACE CAR PARK,5,4
A25,30037.566,38313.6296,SURFACE CAR PARK,5,4
A26,28236.93,39419.47,SURFACE CAR PARK,5,4
A27,28556.67,39153.3,SURFACE CAR PARK,5,4
A28,28461.3669,39295.5961,SURFACE CAR PARK,5,4
A29,29713.5035,38806.4544,SURFACE CAR PARK,5,4
A30,29012.7631,39222.5981,SURFACE CAR PARK,5,4
A30A,29049.6606,39137.3556,SURFACE CAR PARK,5,4
A31,29155.32,39163.04,SURFACE CAR PARK,5,4
A31A,29150.6699,39318.7539,SURFACE CAR PARK,5,4
A33,28152.8391,39115.4784,SURFACE CAR PARK,5,4
A34,30042,38931.43,SURFACE CAR PARK,5,4
A35,30310.66,38963.49,SURFACE CAR PARK,5,4
A36,30443.9088,38715.8847,SURFACE CAR PARK,5,4
A37,30474.8188,38904.5192,SURFACE CAR PARK,5,4
A38,30367.0774,38445.7028,SURFACE CAR PARK,5,4
A39,30309.63,38134.69,SURFACE CAR PARK,5,4
A4,28876.2363,38636.7578,SURFACE CAR PARK,5,4
A40,30633.47,38267.95,SURFACE CAR PARK,5,4
A41,30627.96,38553.32,SURFACE CAR PARK,5,4
A42,30675.9559,38735.0223,SURFACE CAR PARK,5,4
A43,30887.78,38670.51,SURFACE CAR PARK,5,4
A44,30856.9781,38804.1956,SURFACE CAR PARK,5,4
A45,30438.53,39214.64,SURFACE CAR PARK,5,4
A47,30885.475,39174.8899,SURFACE CAR PARK,5,4
A48,30374.18,39154.22,SURFACE CAR PARK,5,4
A49,30724.16,39260.19,SURFACE CAR PARK,5,4
A50,30703.29,39392.09,SURFACE CAR PARK,5,4
A51,28117.6053,39054.6321,SURFACE CAR PARK,5,4
A52,29513.9566,39155.7785,SURFACE CAR PARK,5,4
A52L,29426.2389,39033.615,SURFACE CAR PARK,5,4
A53,29508.9218,39208.8091,MULTI-STOREY CAR PARK,4,4
A54,29401.8671,39382.3378,SURFACE CAR PARK,5,4
A55,29464.1325,39466.0892,SURFACE CAR PARK,5,4
A56,29538.847,39411.5653,SURFACE CAR PARK,5,4
A57,29518.5871,39336.4776,SURFACE CAR PARK,5,4
A58,29603.16,39372.68,SURFACE CAR PARK,5,4
A59,30762.295,39543.9937,SURFACE CAR PARK,5,4
A60,30514.5273,39606.8281,SURFACE CAR PARK,5,4
A61,30096.82,39574.31,SURFACE CAR PARK,5,4
A63,29789.5613,39690.0448,SURFACE CAR PARK,5,4
A64,30241.6957,39172.3075,SURFACE CAR PARK,5,4
A65,30904.46,39226.97,SURFACE CAR PARK,5,4
A66,28260.64,40279.16,SURFACE CAR PARK,5,3
A67,28499.27,40184.22,SURFACE CAR PARK,5,4
A68,28727.3335,40428.7342,SURFACE CAR PARK,5,3
A69,28960.06,40400.41,SURFACE CAR PARK,5,3
A7,28888.4313,38935.4059,SURFACE CAR PARK,5,4
A70,28755.4887,40287.5326,SURFACE CAR PARK,5,4
A71,28826.1219,40219.911,SURFACE CAR PARK,5,4
A72,29136.44,40303.05,SURFACE CAR PARK,5,4
A73,28835.3369,40091.5441,SURFACE CAR PARK,5,4
A74,29166.97,40069.8164,SURFACE CAR PARK,5,4
A75,28597.1669,39798.961,SURFACE CAR PARK,5,4
A76,28613.8871,39995.2242,MULTI-STOREY CAR PARK,4,4
A77,28741.1744,39815.655,SURFACE CAR PARK,5,4
A78,28564.0295,39632.2729,SURFACE CAR PARK,5,4
A8,29111.67,38975.61,SURFACE CAR PARK,5,4
A81,28351.6931,39594.7701,SURFACE CAR PARK,5,4
A82,28342.7741,39740.6593,SURFACE CAR PARK,5,4
A83,31046.8301,39589.4805,SURFACE CAR PARK,5,1
A85,29824.1,38572.16,SURFACE CAR PARK,5,4
A86,30582.1,38215.84,SURFACE CAR PARK,5,4
A87,30733.8638,38762.2439,SURFACE CAR PARK,5,4
A88,29552.24,38701.9,SURFACE CAR PARK,5,4
A89,28673.21,39163.93,SURFACE CAR PARK,5,4
A9,29232.3606,38900.2315,SURFACE CAR PARK,5,4
A90,28882.3578,40440.1317,SURFACE CAR PARK,5,3
A94,28556.1477,39318.8058,MULTI-STOREY CAR PARK,4,4
A95,29612.0323,38838.7824,MULTI-STOREY CAR PARK,4,4
A98,27837.0334,39020.7488,SURFACE CAR PARK,5,4
A99,28433.4999,39885.5496,SURFACE CAR PARK,5,4
BA1,32174.2918,35098.8104,MULTI-STOREY CAR PARK,4,4
BA10,32401.338,36121.0002,MULTI-STOREY CAR PARK,4,4
BA2,32444.5217,35453.6678,MULTI-STOREY CAR PARK,4,4
BA3,32229.3617,35383.6726,MULTI-STOREY CAR PARK,4,4
BA4,32410.3926,35271.7364,MULTI-STOREY CAR PARK,4,4
BA5,32375.4954,35170.051,MULTI-STOREY CAR PARK,4,4
BA6,32325.472,35823.9717,MULTI-STOREY CAR PARK,4,4
BA7,32320.0357,35997.2684,MULTI-STOREY CAR PARK,4,4
BA8,32246.0659,35990.7456,MULTI-STOREY CAR PARK,4,4
BA9,32740.6501,36141.8658,MULTI-STOREY CAR PARK,4,4
BBB,30264.1776,30994.7597,BASEMENT CAR PARK,0,4
BBM1,18213.6562,36507.8169,MULTI-STOREY CAR PARK,4,0
BBM2,18714.471,36997.6927,MULTI-STOREY CAR PARK,4,0
BBM3,19831.2917,36294.3127,MULTI-STOREY CAR PARK,4,0
BBM4,19860.3631,36409.798,MULTI-STOREY CAR PARK,4,0
BBM5,19610.472,36154.6192,MULTI-STOREY CAR PARK,4,0
BBM6,19289.8168,36112.2533,MULTI-STOREY CAR PARK,4,0
BBM7,18025.9428,36609.4062,MULTI-STOREY CAR PARK,4,0
BBM8,18561.8095,36898.4253,MULTI-STOREY CAR PARK,4,0
BBM9,18924.8161,38652.2819,MULTI-STOREY CAR PARK,4,2
BE10,30223.1994,36651.8815,SURFACE CAR PARK,5,4
BE11,30194.9243,36877.2792,SURFACE CAR PARK,5,4
BE12,29963.6285,36903.1662,SURFACE CAR PARK,5,4
BE13,30026.4687,36336.1338,MULTI-STOREY CAR PARK,4,4
BE14,30460.9446,36576.481,MULTI-STOREY CAR PARK,4,4
BE15,30394.9029,36366.7901,MULTI-STOREY CAR PARK,4,4
BE17,29598.0859,38339.9922,SURFACE CAR PARK,5,4
BE18,27751.5586,37825.0781,SURFACE CAR PARK,5,4
BE19,29656.3321,36775.0947,SURFACE CAR PARK,5,4
BE20,29707.8648,36779.0905,MULTI-STOREY CAR PARK,4,4
BE21,29749.6768,36749.5862,SURFACE CAR PARK,5,4
BE22,29818.0559,36839.3645,SURFACE CAR PARK,5,4
BE23,29830.0702,36912.2681,MULTI-STOREY CAR PARK,4,4
BE24,29576.3203,37491.2812,SURFACE CAR PARK,5,4
BE25,29668.2541,37471.6058,MULTI-STOREY CAR PARK,4,4
BE26,29684.6992,37553.5273,SURFACE CAR PARK,5,4
BE27,29704.1126,37637.6725,MULTI-STOREY CAR PARK,4,4
BE28,29639.4805,37778.0547,SURFACE CAR PARK,5,4
BE29,29400.2617,37725.7422,SURFACE CAR PARK,5,4
BE3,28121.0801,38268.7852,SURFACE CAR PARK,5,4
BE3R,28240.0745,38359.6695,MULTI-STOREY CAR PARK,4,4
BE30,29460.8559,37726.9889,MULTI-STOREY CAR PARK,4,4
BE31,29421.8945,37882.1133,SURFACE CAR PARK,5,4
BE32,29486.1335,37915.7452,MULTI-STOREY CAR PARK,4,4
BE33,29279.9809,38026.2842,SURFACE CAR PARK,5,4
BE34,29146.6066,38113.6749,MULTI-STOREY CAR PARK,4,4
BE35,29086.8281,38164.5,SURFACE CAR PARK,5,4
BE36,29248.3008,37730.4375,SURFACE CAR PARK,5,4
BE37,29235.553,37787.1371,MULTI-STOREY CAR PARK,4,4
BE38,29251.7617,37885.625,SURFACE CAR PARK,5,4
BE39,28962.9515,37918.5499,MULTI-STOREY CAR PARK,4,4
BE4,29675.9231,36514.1566,SURFACE CAR PARK,5,4
BE40,29037.3835,37710.0917,MULTI-STOREY CAR PARK,4,4
BE42,29249.7223,37516.6532,MULTI-STOREY CAR PARK,4,4
BE44,27812.0967,37767.5494,MULTI-STOREY CAR PARK,4,4
BE45,29152.4171,37599.2039,MULTI-STOREY CAR PARK,4,4
BE5,29963.414,36478.9779,SURFACE CAR PARK,5,4
BE6,30066.0547,36320.9492,SURFACE CAR PARK,5,4
BE7,30192.8737,36349.311,SURFACE CAR PARK,5,4
BE8,30447.9395,36286.4727,SURFACE CAR PARK,5,4
BE9,30544.5318,36588.7709,SURFACE CAR PARK,5,4
BH1,29017.3398,34136.332,SURFACE CAR PARK,5,4
BH2,29050.8796,34252.9453,SURFACE CAR PARK,5,4
BJAL,20505.161,41097.6794,SURFACE CAR PARK,5,2
BJBL,20272.3997,40658.5045,SURFACE CAR PARK,5,2
BJMP,21344.6326,39972.0102,MECHANISED CAR PARK,3,2
BJ1,20878.08,39550.76,SURFACE CAR PARK,5,2
BJ10,21026.3461,40101.7077,SURFACE CAR PARK,5,2
BJ11,21162.6537,40303.4372,SURFACE CAR PARK,5,2
BJ12,21452.9618,40246.9897,SURFACE CAR PARK,5,2
BJ13,21485.25,39887.66,SURFACE CAR PARK,5,2
BJ14,21346.1751,40106.9685,SURFACE CAR PARK,5,2
BJ15,21374.3071,39941.9395,MULTI-STOREY CAR PARK,4,2
BJ16,21356.3257,39943.2707,MULTI-STOREY CAR PARK,4,2
BJ17,20836.1138,40357.2456,MULTI-STOREY CAR PARK,4,2
BJ18,20743.2768,40326.2581,SURFACE CAR PARK,5,2
BJ19,20773.5976,40665.0357,SURFACE CAR PARK,5,2
BJ2,20581.8743,39791.6392,SURFACE CAR PARK,5,2
BJ20,20929.1589,40888.8561,SURFACE CAR PARK,5,2
BJ21,21028.24,40876.34,SURFACE CAR PARK,5,2
BJ22,21343.2842,40030.3147,SURFACE CAR PARK,5,2
BJ23,21281.85,39957.43,SURFACE CAR PARK,5,2
BJ24,21005.5592,40580.2986,SURFACE CAR PARK,5,2
BJ25,21145.4428,40760.7142,MULTI-STOREY CAR PARK,4,2
BJ26,21254.4996,40638.8302,MULTI-STOREY CAR PARK,4,2
BJ27,21059.217,40510.9727,MULTI-STOREY CAR PARK,4,2
BJ28,20457.7599,40100.1252,MULTI-STOREY CAR PARK,4,2
BJ29,20695.6095,40765.0345,MULTI-STOREY CAR PARK,4,2
BJ3,20884.1354,39921.5746,SURFACE CAR PARK,5,2
BJ30,20839.8705,40996.2639,MULTI-STOREY CAR PARK,4,2
BJ31,20672.7922,41096.8488,MULTI-STOREY CAR PARK,4,2
BJ32,20612.4337,40944.82,MULTI-STOREY CAR PARK,4,2
BJ33,21177.2481,40121.6311,MULTI-STOREY CAR PARK,4,2
BJ34,20565.9376,41081.058,MULTI-STOREY CAR PARK,4,2
BJ35,20498.7021,40997.6232,MULTI-STOREY CAR PARK,4,2
BJ36,20434.7146,40912.3617,MULTI-STOREY CAR PARK,4,2
BJ37,20361.9478,40819.6691,MULTI-STOREY CAR PARK,4,2
BJ38,20221.922,40787.0081,MULTI-STOREY CAR PARK,4,2
BJ39,20158.8662,40686.9514,MULTI-STOREY CAR PARK,4,2
BJ4,21204.7046,39724.8735,SURFACE CAR PARK,5,2
BJ40,20163.4889,40531.4817,MULTI-STOREY CAR PARK,4,2
BJ41,20447.5641,39722.7569,MULTI-STOREY CAR PARK,4,2
BJ42,20317.5802,39878.586,MULTI-STOREY CAR PARK,4,2
BJ43,20027.2654,40409.2626,MULTI-STOREY CAR PARK,4,2
BJ44,20395.5322,40290.7701,MULTI-STOREY CAR PARK,4,2
BJ45,20397.9729,40073.9347,MULTI-STOREY CAR PARK,4,2
BJ48,20352.8446,41013.5834,MULTI-STOREY CAR PARK,4,2
BJ49,20006.0358,40760.5616,MULTI-STOREY CAR PARK,4,2
BJ5,21295.8798,39665.1802,MULTI-STOREY CAR PARK,4,2
BJ50,21363.991,41123.9328,MULTI-STOREY CAR PARK,4,2
BJ51,20226.0907,40152.4974,MULTI-STOREY CAR PARK,4,2
BJ52,20134.1254,40120.981,MULTI-STOREY CAR PARK,4,2
BJ53,21168.4806,41302.9377,MULTI-STOREY CAR PARK,4,2
BJ54,21342.9805,41219.4493,MULTI-STOREY CAR PARK,4,2
BJ55,19927.0486,40913.764,MULTI-STOREY CAR PARK,4,2
