car_park_no,car_park_type,car_park_type_encoded,cluster_label,kmeans,Sector,x_coord,y_coord
ACB,BASEMENT CAR PARK,0,4,2,South,30314.7936,31490.4942
ACM,MULTI-STOREY CAR PARK,4,4,3,East,33758.4143,33695.5198
AH1,SURFACE CAR PARK,5,4,3,East,29257.7203,34500.3599
AK19,SURFACE CAR PARK,5,4,1,North-East,28185.4359,39012.6664
AK31,SURFACE CAR PARK,5,4,1,North-East,29482.029,38684.1754
AK52,SURFACE CAR PARK,5,4,1,North-East,29889.3457,39382.8134
AK83,SURFACE CAR PARK,5,1,1,North-East,31397.2241,39851.6191
AK9,SURFACE CAR PARK,5,3,1,North-East,29674.8184,40616.875
AM14,MULTI-STOREY CAR PARK,4,4,1,North-East,28777.0707,38973.9528
AM16,MULTI-STOREY CAR PARK,4,4,1,North-East,28267.0582,39151.8344
AM18,MULTI-STOREY CAR PARK,4,4,1,North-East,29257.6457,38619.9953
AM19,MULTI-STOREY CAR PARK,4,4,1,North-East,28134.9305,38989.9965
AM20,MULTI-STOREY CAR PARK,4,4,1,North-East,29421.1502,38526.8611
AM22,MULTI-STOREY CAR PARK,4,4,1,North-East,29595.2539,38514.7606
AM32,MULTI-STOREY CAR PARK,4,4,1,North-East,28117.7689,39172.0389
AM43,MULTI-STOREY CAR PARK,4,4,1,North-East,30669.2379,38959.5487
AM46,MULTI-STOREY CAR PARK,4,4,1,North-East,30234.4145,39354.0323
AM51,MULTI-STOREY CAR PARK,4,4,1,North-East,29489.025,39103.7605
AM64,MULTI-STOREY CAR PARK,4,4,1,North-East,30201.236,39274.274
AM79,MULTI-STOREY CAR PARK,4,4,1,North-East,30004.2224,39370.6063
AM80,MULTI-STOREY CAR PARK,4,4,1,North-East,28950.7223,39184.6976
AM81,MULTI-STOREY CAR PARK,4,4,1,North-East,28960.3285,39294.4158
AM96,MULTI-STOREY CAR PARK,4,4,1,North-East,29961.0968,38457.9118
AR1L,SURFACE CAR PARK,5,0,2,South,22359.0217,31801.6379
AR1M,MULTI-STOREY CAR PARK,4,4,2,South,22474.205,31687.9608
AR2L,SURFACE CAR PARK,5,0,2,South,22194.6359,32026.8288
AR2M,MULTI-STOREY CAR PARK,4,0,2,South,22252.486,31896.9749
AR5M,MULTI-STOREY CAR PARK,4,4,2,South,22562.8641,32184.9758
AR7L,SURFACE CAR PARK,5,4,2,South,22688.3753,32015.1518
AR7M,MULTI-STOREY CAR PARK,4,4,2,South,22643.9533,31900.5591
AR9,SURFACE CAR PARK,5,0,2,South,22448.9368,32178.436
AV1,SURFACE CAR PARK,5,4,2,South,24649.752,29778.7266
AV2,SURFACE CAR PARK,5,4,2,South,24941.5778,29704.4978
A1,SURFACE CAR PARK,5,4,1,North-East,28934.1777,38749.8516
A10,SURFACE CAR PARK,5,4,1,North-East,29247.03,38962
A100,SURFACE CAR PARK,5,4,1,North-East,29033.1895,39996.3712
A11,SURFACE CAR PARK,5,4,1,North-East,28541.14,38785.36
A12,SURFACE CAR PARK,5,4,1,North-East,28605.489,38954.8
A13,SURFACE CAR PARK,5,4,1,North-East,28388.51,38892.03
A15,SURFACE CAR PARK,5,4,1,North-East,28790.02,38777.85
A2,SURFACE CAR PARK,5,4,1,North-East,29082.59,38697.07
A20,SURFACE CAR PARK,5,4,1,North-East,29684.7366,38554.0251
A21,SURFACE CAR PARK,5,4,1,North-East,29446.1477,38906.1139
