car_park_no,x_coord,y_coord,car_park_type,type_of_parking_system
AK31,29482.029,38684.1754,SURFACE CAR PARK,COUPON PARKING
AK83,31397.2241,39851.6191,SURFACE CAR PARK,COUPON PARKING
AK9,29674.8184,40616.875,SURFACE CAR PARK,COUPON PARKING
AR1L,22359.0217,31801.6379,SURFACE CAR PARK,ELECTRONIC PARKING
AR2L,22194.6359,32026.8288,SURFACE CAR PARK,ELECTRONIC PARKING
AR7L,22688.3753,32015.1518,SURFACE CAR PARK,ELECTRONIC PARKING
A52L,29426.2389,39033.615,SURFACE CAR PARK,ELECTRONIC PARKING
A55,29464.1325,39466.0892,SURFACE CAR PARK,ELECTRONIC PARKING
BJ1,20878.08,39550.76,SURFACE CAR PARK,ELECTRONIC PARKING
BJ19,20773.5976,40665.0357,SURFACE CAR PARK,ELECTRONIC PARKING
BJ2,20581.8743,39791.6392,SURFACE CAR PARK,ELECTRONIC PARKING
BJ21,21028.24,40876.34,SURFACE CAR PARK,ELECTRONIC PARKING
BJ65,19702.7354,40739.1965,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ69,20182.5515,41087.2501,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ70,20260.173,41274.7776,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ71,20053.9274,40993.2371,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ72,19937.6398,41200.6949,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BL8L,14505.671,36484.5266,SURFACE CAR PARK,ELECTRONIC PARKING
BM27,25937.1387,29610.3105,SURFACE CAR PARK,COUPON PARKING
BM36,26279.3643,29471.6752,SURFACE CAR PARK,COUPON PARKING
BRBL,29935.2249,32102.3708,SURFACE CAR PARK,ELECTRONIC PARKING
B23L,39851.2917,34739.452,SURFACE CAR PARK,ELECTRONIC PARKING
B44B,37970.7092,34944.8181,SURFACE CAR PARK,ELECTRONIC PARKING
B65L,40720.5785,33389.4366,SURFACE CAR PARK,ELECTRONIC PARKING
CKK1,18073.929,40606.0548,SURFACE CAR PARK,COUPON PARKING
CK1,19169.1019,39939.7774,SURFACE CAR PARK,ELECTRONIC PARKING
CK13,17841.917,40541.616,SURFACE CAR PARK,ELECTRONIC PARKING
CK14,17897.997,40235.3892,SURFACE CAR PARK,ELECTRONIC PARKING
CK16,17528.125,40178.0781,SURFACE CAR PARK,ELECTRONIC PARKING
CK18,18797.0391,40329.4648,SURFACE CAR PARK,ELECTRONIC PARKING
CK2,18880.332,40136.4375,SURFACE CAR PARK,ELECTRONIC PARKING
CK29,18072.2888,40190.9725,SURFACE CAR PARK,ELECTRONIC PARKING
CK3,18734.6348,40064.9164,SURFACE CAR PARK,ELECTRONIC PARKING
CK39,18090.945,42004.5732,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CK70,17408.5254,39880.0108,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CK8,18405.5916,40449.7464,SURFACE CAR PARK,ELECTRONIC PARKING
CK9A,18449.8356,40217.8144,SURFACE CAR PARK,ELECTRONIC PARKING
CR7,31229.7422,31984.8511,SURFACE CAR PARK,ELECTRONIC PARKING
C21L,20624.0039,32590.9865,SURFACE CAR PARK,ELECTRONIC PARKING
C3ML,20852.22,32522.1809,SURFACE CAR PARK,ELECTRONIC PARKING
C40L,20273.1009,31460.4731,SURFACE CAR PARK,ELECTRONIC PARKING
DSRL,24864.8825,31078.208,SURFACE CAR PARK,ELECTRONIC PARKING
ECML,35592.0791,33722.6334,SURFACE CAR PARK,ELECTRONIC PARKING
EPL,28733.8679,28847.7781,SURFACE CAR PARK,ELECTRONIC PARKING
GEML,34068.7879,33577.593,SURFACE CAR PARK,ELECTRONIC PARKING
GMLM,22713.9209,32338.0954,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
GSML,35252.7807,33256.2338,SURFACE CAR PARK,ELECTRONIC PARKING
HG3L,33373.4677,40905.5905,SURFACE CAR PARK,ELECTRONIC PARKING
HG37,34015.3359,39445.9023,SURFACE CAR PARK,ELECTRONIC PARKING
H3BL,33444.3288,40713.4165,SURFACE CAR PARK,ELECTRONIC PARKING
H3DL,33209.3106,40779.9579,SURFACE CAR PARK,ELECTRONIC PARKING
H87L,33038.8293,40052.7361,SURFACE CAR PARK,COUPON PARKING
H93L,33274.8825,40196.8778,SURFACE CAR PARK,ELECTRONIC PARKING
JCML,35269.0428,33048.779,SURFACE CAR PARK,ELECTRONIC PARKING
JSR2,13711.4533,36158.9284,SURFACE CAR PARK,ELECTRONIC PARKING
JS1L,13822.1572,35914.7433,SURFACE CAR PARK,ELECTRONIC PARKING
JS3L,13008.3628,35980.6896,SURFACE CAR PARK,ELECTRONIC PARKING
JS33,12457.7938,35259.9777,SURFACE CAR PARK,ELECTRONIC PARKING
JS4L,15568.9516,35541.8105,SURFACE CAR PARK,ELECTRONIC PARKING
JS5L,12828.9589,35710.5525,SURFACE CAR PARK,ELECTRONIC PARKING
J15,17772.459,36243.0234,SURFACE CAR PARK,ELECTRONIC PARKING
J42,15786.7041,36706.2305,SURFACE CAR PARK,COUPON PARKING
J57L,17598.8143,35184.3604,SURFACE CAR PARK,ELECTRONIC PARKING
J60L,15152.11,36874.8285,SURFACE CAR PARK,ELECTRONIC PARKING
J9,17837.3306,36030.7859,SURFACE CAR PARK,ELECTRONIC PARKING
KAML,29106.1357,29419.0762,SURFACE CAR PARK,ELECTRONIC PARKING
KB1,31959.8887,33979.5898,SURFACE CAR PARK,ELECTRONIC PARKING
KB18,31607.4592,33883.3513,SURFACE CAR PARK,ELECTRONIC PARKING
KJML,30035.265,32724.2432,SURFACE CAR PARK,ELECTRONIC PARKING
KM6L,34068.6084,32547.8395,SURFACE CAR PARK,ELECTRONIC PARKING
KRM,32454.2248,32632.6824,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
K22,34127.5,32207.5039,SURFACE CAR PARK,COUPON PARKING
MM7L,34178.4766,34165.8832,SURFACE CAR PARK,ELECTRONIC PARKING
NTL,39437.1163,38289.5513,SURFACE CAR PARK,ELECTRONIC PARKING
PDL1,36861.9823,41783.2542,BASEMENT CAR PARK,ELECTRONIC PARKING
PLB1,41971.3984,39012.3008,SURFACE CAR PARK,COUPON PARKING
PM21,40920.1747,39245.8244,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PP3,31619.7981,35088.4721,SURFACE CAR PARK,ELECTRONIC PARKING
PP5,31328.03,35388.25,SURFACE CAR PARK,ELECTRONIC PARKING
PR2,41590.9705,38812.1621,SURFACE CAR PARK,ELECTRONIC PARKING
PR4,41488.2976,39437.995,SURFACE CAR PARK,ELECTRONIC PARKING
PR5,41554.7014,39169.7008,SURFACE CAR PARK,ELECTRONIC PARKING
P34L,36246.7526,42930.9252,SURFACE CAR PARK,ELECTRONIC PARKING
P35L,36269.0157,42678.4287,SURFACE CAR PARK,ELECTRONIC PARKING
P40L,39419.6994,40009.1936,SURFACE CAR PARK,ELECTRONIC PARKING
P5L,36283.2687,42152.2969,SURFACE CAR PARK,ELECTRONIC PARKING
P6L,36543.1672,41943.8193,SURFACE CAR PARK,ELECTRONIC PARKING
P71L,37190.4782,42765.7878,SURFACE CAR PARK,ELECTRONIC PARKING
P73L,34524.5777,42733.2272,SURFACE CAR PARK,COUPON PARKING
P76L,35336.0812,43792.9611,SURFACE CAR PARK,ELECTRONIC PARKING
P77L,37568.3243,42442.9721,SURFACE CAR PARK,ELECTRONIC PARKING
P88L,36630.6431,44360.7121,SURFACE CAR PARK,ELECTRONIC PARKING
Q5S,24530.9034,30353.3466,SURFACE CAR PARK,COUPON PARKING
Q92,25236.2422,30797.7383,SURFACE CAR PARK,COUPON PARKING
Q93,25189.3828,30813.4336,SURFACE CAR PARK,COUPON PARKING
SB23,26338.6026,47963.0686,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
SD11,33133.8433,33184.8063,SURFACE CAR PARK,ELECTRONIC PARKING
SD9,32471.3589,32673.4722,SURFACE CAR PARK,ELECTRONIC PARKING
SMML,25259.6207,30666.3245,SURFACE CAR PARK,ELECTRONIC PARKING
SR2,29976.3171,31722.7063,SURFACE CAR PARK,COUPON PARKING
SS1L,34222.1303,42325.782,SURFACE CAR PARK,ELECTRONIC PARKING
S13L,33976.3641,41801.3132,SURFACE CAR PARK,ELECTRONIC PARKING
S14L,33672.15,41719.2634,SURFACE CAR PARK,ELECTRONIC PARKING
S15L,32098.6626,41307.4782,SURFACE CAR PARK,ELECTRONIC PARKING
S16L,32841.3354,42213.5234,SURFACE CAR PARK,ELECTRONIC PARKING
S19L,26619.279,48110.2064,SURFACE CAR PARK,ELECTRONIC PARKING
S24L,26930.1313,48308.6929,SURFACE CAR PARK,ELECTRONIC PARKING
S28L,26156.746,48492.1384,SURFACE CAR PARK,ELECTRONIC PARKING
S30L,34845.4319,41829.1525,SURFACE CAR PARK,ELECTRONIC PARKING
S36L,28033.599,47720.0557,SURFACE CAR PARK,ELECTRONIC PARKING
S38L,27945.3404,47471.3997,SURFACE CAR PARK,ELECTRONIC PARKING
S39L,32277.158,39545.2552,SURFACE CAR PARK,ELECTRONIC PARKING
S40L,27600.8748,47574.1207,SURFACE CAR PARK,ELECTRONIC PARKING
S43L,27659.3104,47371.4915,SURFACE CAR PARK,ELECTRONIC PARKING
S45A,27745.6908,47187.0993,SURFACE CAR PARK,ELECTRONIC PARKING
S45L,27821.7372,47226.2109,SURFACE CAR PARK,ELECTRONIC PARKING
S47L,27557.5807,47754.0354,SURFACE CAR PARK,ELECTRONIC PARKING
TBL,25044.3866,28772.2926,SURFACE CAR PARK,ELECTRONIC PARKING
TE2,27083.1099,29159.4607,SURFACE CAR PARK,ELECTRONIC PARKING
TE21,27806.9987,29492.094,SURFACE CAR PARK,COUPON PARKING
TE29,27776.6895,29392.8223,SURFACE CAR PARK,COUPON PARKING
TE30,27652.541,29480.3242,SURFACE CAR PARK,COUPON PARKING
TGML,17541.2774,33778.08,SURFACE CAR PARK,ELECTRONIC PARKING
TH1L,17083.0529,37434.8361,SURFACE CAR PARK,ELECTRONIC PARKING
TPL,29078.289,28819.4744,SURFACE CAR PARK,ELECTRONIC PARKING
TP65,29973.9188,35315.1935,SURFACE CAR PARK,COUPON PARKING
TW4,19072.5156,40448.2227,SURFACE CAR PARK,ELECTRONIC PARKING
T47L,39821.519,37570.2027,SURFACE CAR PARK,ELECTRONIC PARKING
T55,40456.9061,37597.9862,SURFACE CAR PARK,ELECTRONIC PARKING
T77,41294.1032,38193.2412,SURFACE CAR PARK,ELECTRONIC PARKING
W26,21430.5762,45933.9805,SURFACE CAR PARK,ELECTRONIC PARKING
