car_park_no,x_coord,y_coord,car_park_type,type_of_parking_system
ACB,30314.7936,31490.4942,BASEMENT CAR PARK,ELECTRONIC PARKING
AK19,28185.4359,39012.6664,SURFACE CAR PARK,COUPON PARKING
AK31,29482.029,38684.1754,SURFACE CAR PARK,COUPON PARKING
AK52,29889.3457,39382.8134,SURFACE CAR PARK,COUPON PARKING
AK83,31397.2241,39851.6191,SURFACE CAR PARK,COUPON PARKING
AK9,29674.8184,40616.875,SURFACE CAR PARK,COUPON PARKING
AM14,28777.0707,38973.9528,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
AM18,29257.6457,38619.9953,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
AM32,28117.7689,39172.0389,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
AM46,30234.4145,39354.0323,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
AR1L,22359.0217,31801.6379,SURFACE CAR PARK,ELECTRONIC PARKING
AR2L,22194.6359,32026.8288,SURFACE CAR PARK,ELECTRONIC PARKING
AR7L,22688.3753,32015.1518,SURFACE CAR PARK,ELECTRONIC PARKING
AV1,24649.752,29778.7266,SURFACE CAR PARK,ELECTRONIC PARKING
AV2,24941.5778,29704.4978,SURFACE CAR PARK,COUPON PARKING
A100,29033.1895,39996.3712,SURFACE CAR PARK,ELECTRONIC PARKING
A33,28152.8391,39115.4784,SURFACE CAR PARK,ELECTRONIC PARKING
A51,28117.6053,39054.6321,SURFACE CAR PARK,ELECTRONIC PARKING
A52L,29426.2389,39033.615,SURFACE CAR PARK,ELECTRONIC PARKING
A76,28613.8871,39995.2242,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
A99,28433.4999,39885.5496,SURFACE CAR PARK,COUPON PARKING
BA6,32325.472,35823.9717,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BBB,30264.1776,30994.7597,BASEMENT CAR PARK,ELECTRONIC PARKING
BBM8,18561.8095,36898.4253,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BE12,29963.6285,36903.1662,SURFACE CAR PARK,ELECTRONIC PARKING
BE23,29830.0702,36912.2681,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BE36,29248.3008,37730.4375,SURFACE CAR PARK,ELECTRONIC PARKING
BE38,29251.7617,37885.625,SURFACE CAR PARK,ELECTRONIC PARKING
BE45,29152.4171,37599.2039,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJMP,21344.6326,39972.0102,MECHANISED CAR PARK,ELECTRONIC PARKING
BJ14,21346.1751,40106.9685,SURFACE CAR PARK,ELECTRONIC PARKING
BJ15,21374.3071,39941.9395,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ22,21343.2842,40030.3147,SURFACE CAR PARK,ELECTRONIC PARKING
BJ23,21281.85,39957.43,SURFACE CAR PARK,ELECTRONIC PARKING
BJ28,20457.7599,40100.1252,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ44,20395.5322,40290.7701,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ45,20397.9729,40073.9347,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ51,20226.0907,40152.4974,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ52,20134.1254,40120.981,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ57,19859.549,40799.6812,SURFACE CAR PARK,ELECTRONIC PARKING
BJ62,21108.8428,40690.9971,SURFACE CAR PARK,ELECTRONIC PARKING
BKE1,30034.1445,32237.498,SURFACE CAR PARK,ELECTRONIC PARKING
BKE2,30466.3496,32935.1367,SURFACE CAR PARK,ELECTRONIC PARKING
BKE3,30502.0605,32966.8867,SURFACE CAR PARK,ELECTRONIC PARKING
BKE4,30617.8164,32970.7734,SURFACE CAR PARK,ELECTRONIC PARKING
BKE9,30019.3942,32184.232,SURFACE CAR PARK,ELECTRONIC PARKING
BL24,14295.5416,35924.1943,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BL8L,14505.671,36484.5266,SURFACE CAR PARK,ELECTRONIC PARKING
BM1,25357.1463,29858.3486,SURFACE CAR PARK,ELECTRONIC PARKING
BM13,25648.7676,29924.1943,SURFACE CAR PARK,ELECTRONIC PARKING
BM14,25276.6255,30161.1078,SURFACE CAR PARK,ELECTRONIC PARKING
BM2,25399.6152,29918.9512,SURFACE CAR PARK,ELECTRONIC PARKING
BM26,25118.4593,29967.6925,SURFACE CAR PARK,ELECTRONIC PARKING
BM27,25937.1387,29610.3105,SURFACE CAR PARK,COUPON PARKING
BM28,26052.9053,29603.6488,SURFACE CAR PARK,ELECTRONIC PARKING
BM29,26194.9184,29563.3295,BASEMENT CAR PARK,ELECTRONIC PARKING
BM3,25574.8666,30013.7121,SURFACE CAR PARK,ELECTRONIC PARKING
BM30,26154.2109,29519.0586,SURFACE CAR PARK,ELECTRONIC PARKING
BM33,26367.6248,29465.267,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BM36,26279.3643,29471.6752,SURFACE CAR PARK,COUPON PARKING
BM5,25139.9101,30093.7491,SURFACE CAR PARK,ELECTRONIC PARKING
BRBL,29935.2249,32102.3708,SURFACE CAR PARK,ELECTRONIC PARKING
BRB1,29921.7021,32043.75,BASEMENT CAR PARK,ELECTRONIC PARKING
BRM7,30457.6666,34068.0647,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BR8,30363.7715,34154.9883,SURFACE CAR PARK,ELECTRONIC PARKING
BTM3,27485.7966,29859.2793,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
