car_park_no,x_coord,y_coord,car_park_type,type_of_parking_system
AK19,28185.4359,39012.6664,SURFACE CAR PARK,COUPON PARKING
AK31,29482.029,38684.1754,SURFACE CAR PARK,COUPON PARKING
AK83,31397.2241,39851.6191,SURFACE CAR PARK,COUPON PARKING
AK9,29674.8184,40616.875,SURFACE CAR PARK,COUPON PARKING
AM18,29257.6457,38619.9953,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
AR1L,22359.0217,31801.6379,SURFACE CAR PARK,ELECTRONIC PARKING
AR2L,22194.6359,32026.8288,SURFACE CAR PARK,ELECTRONIC PARKING
AR7L,22688.3753,32015.1518,SURFACE CAR PARK,ELECTRONIC PARKING
AR9,22448.9368,32178.436,SURFACE CAR PARK,ELECTRONIC PARKING
A30A,29049.6606,39137.3556,SURFACE CAR PARK,COUPON PARKING
A31A,29150.6699,39318.7539,SURFACE CAR PARK,COUPON PARKING
A52L,29426.2389,39033.615,SURFACE CAR PARK,ELECTRONIC PARKING
A85,29824.1,38572.16,SURFACE CAR PARK,ELECTRONIC PARKING
A88,29552.24,38701.9,SURFACE CAR PARK,ELECTRONIC PARKING
A89,28673.21,39163.93,SURFACE CAR PARK,COUPON PARKING
A99,28433.4999,39885.5496,SURFACE CAR PARK,COUPON PARKING
BE18,27751.5586,37825.0781,SURFACE CAR PARK,ELECTRONIC PARKING
BE24,29576.3203,37491.2812,SURFACE CAR PARK,COUPON PARKING
BE26,29684.6992,37553.5273,SURFACE CAR PARK,ELECTRONIC PARKING
BE28,29639.4805,37778.0547,SURFACE CAR PARK,ELECTRONIC PARKING
BE29,29400.2617,37725.7422,SURFACE CAR PARK,ELECTRONIC PARKING
BE3,28121.0801,38268.7852,SURFACE CAR PARK,ELECTRONIC PARKING
BE31,29421.8945,37882.1133,SURFACE CAR PARK,ELECTRONIC PARKING
BE33,29279.9809,38026.2842,SURFACE CAR PARK,ELECTRONIC PARKING
BE35,29086.8281,38164.5,SURFACE CAR PARK,ELECTRONIC PARKING
