car_park_no,x_coord,y_coord,kmeans,Sector
ACB,30314.7936,31490.4942,2,South
ACM,33758.4143,33695.5198,3,East
AH1,29257.7203,34500.3599,3,East
AK19,28185.4359,39012.6664,1,North-East
AK31,29482.029,38684.1754,1,North-East
AK52,29889.3457,39382.8134,1,North-East
AK83,31397.2241,39851.6191,1,North-East
AK9,29674.8184,40616.875,1,North-East
AM14,28777.0707,38973.9528,1,North-East
AM16,28267.0582,39151.8344,1,North-East
AM18,29257.6457,38619.9953,1,North-East
AM19,28134.9305,38989.9965,1,North-East
AM20,29421.1502,38526.8611,1,North-East
AM22,29595.2539,38514.7606,1,North-East
AM32,28117.7689,39172.0389,1,North-East
AM43,30669.2379,38959.5487,1,North-East
AM46,30234.4145,39354.0323,1,North-East
AM51,29489.025,39103.7605,1,North-East
AM64,30201.236,39274.274,1,North-East
AM79,30004.2224,39370.6063,1,North-East
AM80,28950.7223,39184.6976,1,North-East
AM81,28960.3285,39294.4158,1,North-East
AM96,29961.0968,38457.9118,1,North-East
AR1L,22359.0217,31801.6379,2,South
AR1M,22474.205,31687.9608,2,South
AR2L,22194.6359,32026.8288,2,South
AR2M,22252.486,31896.9749,2,South
AR5M,22562.8641,32184.9758,2,South
AR7L,22688.3753,32015.1518,2,South
AR7M,22643.9533,31900.5591,2,South
AR9,22448.9368,32178.436,2,South
AV1,24649.752,29778.7266,2,South
AV2,24941.5778,29704.4978,2,South
A1,28934.1777,38749.8516,1,North-East
A10,29247.03,38962,1,North-East
A100,29033.1895,39996.3712,1,North-East
A11,28541.14,38785.36,1,North-East
A12,28605.489,38954.8,1,North-East
A13,28388.51,38892.03,1,North-East
A15,28790.02,38777.85,1,North-East
A2,29082.59,38697.07,1,North-East
A20,29684.7366,38554.0251,1,North-East
A21,29446.1477,38906.1139,1,North-East
A23,29735.5099,38818.5301,1,North-East
A24,29789.41,38533.02,1,North-East
A25,30037.566,38313.6296,1,North-East
A26,28236.93,39419.47,1,North-East
A27,28556.67,39153.3,1,North-East
A28,28461.3669,39295.5961,1,North-East
A29,29713.5035,38806.4544,1,North-East
A30,29012.7631,39222.5981,1,North-East
A30A,29049.6606,39137.3556,1,North-East
A31,29155.32,39163.04,1,North-East
A31A,29150.6699,39318.7539,1,North-East
A33,28152.8391,39115.4784,1,North-East
A34,30042,38931.43,1,North-East
A35,30310.66,38963.49,1,North-East
A36,30443.9088,38715.8847,1,North-East
A37,30474.8188,38904.5192,1,North-East
A38,30367.0774,38445.7028,1,North-East
A39,30309.63,38134.69,1,North-East
A4,28876.2363,38636.7578,1,North-East
A40,30633.47,38267.95,1,North-East
A41,30627.96,38553.32,1,North-East
A42,30675.9559,38735.0223,1,North-East
A43,30887.78,38670.51,1,North-East
A44,30856.9781,38804.1956,1,North-East
A45,30438.53,39214.64,1,North-East
A47,30885.475,39174.8899,1,North-East
A48,30374.18,39154.22,1,North-East
A49,30724.16,39260.19,1,North-East
A50,30703.29,39392.09,1,North-East
A51,28117.6053,39054.6321,1,North-East
A52,29513.9566,39155.7785,1,North-East
A52L,29426.2389,39033.615,1,North-East
A53,29508.9218,39208.8091,1,North-East
A54,29401.8671,39382.3378,1,North-East
A55,29464.1325,39466.0892,1,North-East
A56,29538.847,39411.5653,1,North-East
A57,29518.5871,39336.4776,1,North-East
A58,29603.16,39372.68,1,North-East
A59,30762.295,39543.9937,1,North-East
A60,30514.5273,39606.8281,1,North-East
A61,30096.82,39574.31,1,North-East
A63,29789.5613,39690.0448,1,North-East
A64,30241.6957,39172.3075,1,North-East
A65,30904.46,39226.97,1,North-East
A66,28260.64,40279.16,1,North-East
A67,28499.27,40184.22,1,North-East
A68,28727.3335,40428.7342,1,North-East
A69,28960.06,40400.41,1,North-East
A7,28888.4313,38935.4059,1,North-East
A70,28755.4887,40287.5326,1,North-East
A71,28826.1219,40219.911,1,North-East
A72,29136.44,40303.05,1,North-East
A73,28835.3369,40091.5441,1,North-East
A74,29166.97,40069.8164,1,North-East
A75,28597.1669,39798.961,1,North-East
A76,28613.8871,39995.2242,1,North-East
A77,28741.1744,39815.655,1,North-East
A78,28564.0295,39632.2729,1,North-East
A8,29111.67,38975.61,1,North-East
A81,28351.6931,39594.7701,1,North-East
A82,28342.7741,39740.6593,1,North-East
A83,31046.8301,39589.4805,1,North-East
A85,29824.1,38572.16,1,North-East
A86,30582.1,38215.84,1,North-East
A87,30733.8638,38762.2439,1,North-East
A88,29552.24,38701.9,1,North-East
A89,28673.21,39163.93,1,North-East
A9,29232.3606,38900.2315,1,North-East
A90,28882.3578,40440.1317,1,North-East
A94,28556.1477,39318.8058,1,North-East
A95,29612.0323,38838.7824,1,North-East
A98,27837.0334,39020.7488,1,North-East
A99,28433.4999,39885.5496,1,North-East
BA1,32174.2918,35098.8104,3,East
BA10,32401.338,36121.0002,3,East
BA2,32444.5217,35453.6678,3,East
BA3,32229.3617,35383.6726,3,East
BA4,32410.3926,35271.7364,3,East
BA5,32375.4954,35170.051,3,East
BA6,32325.472,35823.9717,3,East
BA7,32320.0357,35997.2684,3,East
BA8,32246.0659,35990.7456,3,East
BA9,32740.6501,36141.8658,3,East
BBB,30264.1776,30994.7597,2,South
BBM1,18213.6562,36507.8169,0,West
BBM2,18714.471,36997.6927,0,West
BBM3,19831.2917,36294.3127,0,West
BBM4,19860.3631,36409.798,0,West
BBM5,19610.472,36154.6192,0,West
BBM6,19289.8168,36112.2533,0,West
BBM7,18025.9428,36609.4062,0,West
BBM8,18561.8095,36898.4253,0,West
BBM9,18924.8161,38652.2819,0,West
BE10,30223.1994,36651.8815,3,East
BE11,30194.9243,36877.2792,3,East
BE12,29963.6285,36903.1662,3,East
BE13,30026.4687,36336.1338,3,East
BE14,30460.9446,36576.481,3,East
BE15,30394.9029,36366.7901,3,East
BE17,29598.0859,38339.9922,1,North-East
BE18,27751.5586,37825.0781,1,North-East
BE19,29656.3321,36775.0947,3,East
BE20,29707.8648,36779.0905,3,East
BE21,29749.6768,36749.5862,3,East
BE22,29818.0559,36839.3645,3,East
BE23,29830.0702,36912.2681,3,East
BE24,29576.3203,37491.2812,1,North-East
BE25,29668.2541,37471.6058,1,North-East
BE26,29684.6992,37553.5273,1,North-East
BE27,29704.1126,37637.6725,1,North-East
BE28,29639.4805,37778.0547,1,North-East
BE29,29400.2617,37725.7422,1,North-East
BE3,28121.0801,38268.7852,1,North-East
BE3R,28240.0745,38359.6695,1,North-East
BE30,29460.8559,37726.9889,1,North-East
BE31,29421.8945,37882.1133,1,North-East
BE32,29486.1335,37915.7452,1,North-East
BE33,29279.9809,38026.2842,1,North-East
BE34,29146.6066,38113.6749,1,North-East
BE35,29086.8281,38164.5,1,North-East
BE36,29248.3008,37730.4375,1,North-East
BE37,29235.553,37787.1371,1,North-East
BE38,29251.7617,37885.625,1,North-East
BE39,28962.9515,37918.5499,1,North-East
BE4,29675.9231,36514.1566,3,East
BE40,29037.3835,37710.0917,1,North-East
BE42,29249.7223,37516.6532,1,North-East
BE44,27812.0967,37767.5494,1,North-East
BE45,29152.4171,37599.2039,1,North-East
BE5,29963.414,36478.9779,3,East
BE6,30066.0547,36320.9492,3,East
BE7,30192.8737,36349.311,3,East
BE8,30447.9395,36286.4727,3,East
BE9,30544.5318,36588.7709,3,East
BH1,29017.3398,34136.332,2,South
BH2,29050.8796,34252.9453,2,South
BJAL,20505.161,41097.6794,0,West
BJBL,20272.3997,40658.5045,0,West
BJMP,21344.6326,39972.0102,0,West
BJ1,20878.08,39550.76,0,West
BJ10,21026.3461,40101.7077,0,West
BJ11,21162.6537,40303.4372,0,West
BJ12,21452.9618,40246.9897,0,West
BJ13,21485.25,39887.66,0,West
BJ14,21346.1751,40106.9685,0,West
BJ15,21374.3071,39941.9395,0,West
BJ16,21356.3257,39943.2707,0,West
BJ17,20836.1138,40357.2456,0,West
BJ18,20743.2768,40326.2581,0,West
BJ19,20773.5976,40665.0357,0,West
BJ2,20581.8743,39791.6392,0,West
BJ20,20929.1589,40888.8561,0,West
BJ21,21028.24,40876.34,0,West
BJ22,21343.2842,40030.3147,0,West
BJ23,21281.85,39957.43,0,West
BJ24,21005.5592,40580.2986,0,West
BJ25,21145.4428,40760.7142,0,West
BJ26,21254.4996,40638.8302,0,West
BJ27,21059.217,40510.9727,0,West
BJ28,20457.7599,40100.1252,0,West
BJ29,20695.6095,40765.0345,0,West
BJ3,20884.1354,39921.5746,0,West
BJ30,20839.8705,40996.2639,0,West
BJ31,20672.7922,41096.8488,0,West
BJ32,20612.4337,40944.82,0,West
BJ33,21177.2481,40121.6311,0,West
BJ34,20565.9376,41081.058,0,West
BJ35,20498.7021,40997.6232,0,West
BJ36,20434.7146,40912.3617,0,West
BJ37,20361.9478,40819.6691,0,West
BJ38,20221.922,40787.0081,0,West
BJ39,20158.8662,40686.9514,0,West
BJ4,21204.7046,39724.8735,0,West
BJ40,20163.4889,40531.4817,0,West
BJ41,20447.5641,39722.7569,0,West
BJ42,20317.5802,39878.586,0,West
BJ43,20027.2654,40409.2626,0,West
BJ44,20395.5322,40290.7701,0,West
BJ45,20397.9729,40073.9347,0,West
BJ48,20352.8446,41013.5834,0,West
